name,trans,testTime,number,total,updateTime,inputTime
niece,侄女；外甥女,0,6,13,2016/06/29 03:51:04,2016/06/29 02:23:49
newcomer,新來的人,1,2,13,2016/06/29 12:25:21,2016/06/29 02:23:49
juvenile,少年的；年輕的,0,7,13,2016/06/29 03:41:00,2016/06/29 02:23:49
velvet,天鵝絨,0,8,13,2016/06/29 02:23:49,2016/06/29 02:23:49
acreage,英畝數,1,4,13,2016/06/29 12:25:21,2016/06/29 02:23:49
zinc,鋅,0,3,13,2016/06/29 12:22:29,2016/06/29 02:23:49
bikini,比基尼,0,5,13,2016/06/29 12:25:21,2016/06/29 02:23:49
volatile,揮發性的,0,12,13,2016/06/29 02:23:49,2016/06/29 02:23:49
garment,衣服,0,11,13,2016/06/29 03:59:09,2016/06/29 02:23:49
ghetto,貧民窟,1,10,13,2016/06/29 12:23:19,2016/06/29 02:23:49
neonlight,霓虹燈,1,1,13,2016/06/29 12:22:29,2016/06/29 02:23:49
irony,諷刺；譏刺,1,9,13,2016/06/29 12:22:29,2016/06/29 02:23:49
apple,蘋果,0,13,13,2016/06/29 11:45:46,2016/06/29 11:45:46
